speaker	task	time_stamp	gram_cat	context_cat	context_start_lg	context_specific	like_duration_ms	closure_presence	closure_duration	burst_presence	burst_duration
BESF_18	D	25.13442723	D	ML	E	E	214.5982385	1	146.5325688	1	19.02566703
BESF_18	D	26.68015449	D	ML	E	E	94.33362779	1	81.90477281	0	0
BESF_18	D	29.1923898	D	ML	E	E	123.8065368	1	21.87688497	1	3.779458888
BESF_18	D	124.5373542	D	CS	E	CS_ES	185.6851423	1	121.9137888	1	12.41437007
BESF_18	D	129.1693256	DQ	CS	E	CS_SEE	203.0667495	1	117.9558339	1	127.9529923
BESF_18	D	135.1342981	DQ	CS	E	CS_ES	153.9607133	1	110.7733298	1	13.6359625
BESF_18	D	136.4755805	D	CS	E	CS_SEE	157.228905	1	120.2463806	1	20.02240198
BESF_18	D	137.4250079	D	ML	E	E	134.3046776	1	23.46785735	1	13.58344538
BESF_18	D	138.1313556	D	ML	E	E	108.4903605	1	70.93838849	1	9.112766118
BESF_18	D	139.6528472	D	ML	E	E	131.9809781	1	25.4173822	1	49.83942882
BESF_18	D	141.4684196	DQ	ML	E	E	208.3620501	1	101.6186768	1	193.6057174
BESF_18	D	142.8859397	D	ML	E	E	124.5852729	1	188.2467567	1	14.52000353
BESF_18	D	144.2184092	DQ	CS	E	CS_ES	146.4416406	1	276.2055767	0	0
BESF_18	D	148.5459615	G	CS	E	CS_SEE	99.32460461	1	148.3924964	0	0
BESF_18	D	153.5799127	D	ML	S	S	240.1192682	1	140.3338685	1	12.37895602
BESF_18	D	156.2448715	D	ML	E	E	129.6106587	1	67.47200292	1	4.647049056
BESF_18	D	157.328559	D	ML	E	E	80.92949402	1	21.77005048	1	7.179979928
BESF_18	D	161.0682441	D	CS	E	CS_ES	132.3298792	1	12.065623	1	7.227252252
BESF_18	D	166.8777411	D	ML	E	E	111.5564389	1	64.35560028	1	2.487251388
BESF_18	D	190.146035	D	ML	E	E	92.90127675	1	62.7262854	1	12.70614982
BESF_18	D	193.2814686	D	CS	E	CS_SEE	176.259697	1	130.260477	1	46.3384909
BESF_18	D	201.1992103	D	ML	E	E	92.83345195	1	80.3902448	1	36.0022703
BESF_18	D	202.0300979	D	ML	E	E	55.27706404	1	58.07033059	1	22.50630612
BESF_18	D	204.9205715	D	ML	E	E	132.6855177	1	34.52749204	1	9.880477118
BESF_18	D	213.5550735	D	ML	E	E	144.5139413	1	76.76030438	0	0
BESF_18	D	214.823308	D	ML	E	E	147.7146647	1	47.49113568	1	3.192117102
BESF_18	D	215.5279271	D	ML	E	E	138.9880272	1	45.97272205	0	0
BESF_18	D	220.0582028	D	ML	E	E	132.306176	1	36.816939	1	14.26224855
BESF_18	D	223.7133558	D	ML	E	E	134.6291713	1	127.0544975	1	59.62931186
BESF_18	D	272.2442087	D	ML	E	E	233.827146	1	152.0375666	1	61.60522523
